time,open,high,low,close,volume,volumeRaw,changePercent
1988-05-01,370.34,383.06,362.37,370.34,,,-2.34
1988-06-01,394.66,394.77,370.33,394.66,,,6.57
1988-07-01,387.33,397.54,382.13,387.33,,,-1.86
1988-08-01,376.55,389.5,372.2,376.55,,,-2.78
1988-09-01,387.71,388.37,372.15,387.71,,,2.96
1988-10-01,382.46,388.93,380.66,382.46,,,-1.35
1988-11-01,371.45,383.07,364.03,371.45,,,-2.88
1988-12-01,381.38,381.38,371.16,381.38,,,2.67
1989-01-01,401.3,401.41,376.87,401.3,,,5.22
1989-02-01,399.71,410.09,398.13,399.71,,,-0.4
1989-03-01,406.73,409.86,397.68,406.73,,,1.76
1989-04-01,427.55,427.59,406.48,427.55,,,5.12
1989-05-01,446.17,446.25,425.68,446.17,,,4.36
1989-06-01,435.29,454.59,431.72,435.29,,,-2.44
1989-07-01,453.84,453.86,434.35,453.84,,,4.26
1989-08-01,469.33,469.42,452.41,469.33,,,3.41
1989-09-01,472.92,474.56,464.83,472.92,,,0.76
1989-10-01,455.63,487.6,447,455.63,,,-3.66
1989-11-01,456.09,457.83,446.72,456.09,,,0.1
1989-12-01,454.82,459.4,431.7,454.82,,,-0.28
1990-01-01,415.81,461.72,409.98,415.81,,,-8.58
1990-02-01,425.83,430.92,415.79,425.83,,,2.41
1990-03-01,435.54,443.31,424.44,435.54,,,2.28
1990-04-01,420.07,438.5,416.95,420.07,,,-3.55
1990-05-01,458.97,459.98,420.07,458.97,,,9.26
1990-06-01,462.29,469.42,453.1,462.29,,,0.72
1990-07-01,438.24,470.3,436.76,438.24,,,-5.2
1990-08-01,381.21,438.59,359.67,381.21,,,-13.01
1990-09-01,344.51,385.19,334.54,344.51,,,-9.63
1990-10-01,329.84,360.97,322.93,329.84,,,-4.26
1990-11-01,359.06,359.06,327.75,359.06,,,8.86
1990-12-01,373.84,378.03,359.05,373.84,,,4.12
1991-01-01,414.2,414.29,352.85,414.2,,,10.8
1991-02-01,453.05,454.47,413.45,453.05,,,9.38
1991-03-01,482.3,483.48,450.26,482.3,,,6.46
1991-04-01,484.72,512.75,479.07,484.72,,,0.5
1991-05-01,506.11,506.16,476.53,506.11,,,4.41
1991-06-01,475.92,508.07,470.92,475.92,,,-5.97
1991-07-01,502.04,502.21,471.17,502.04,,,5.49
1991-08-01,508.27,527.76,487,525.68,,,4.71
1991-09-01,526.01,529.29,510.97,526.88,,,0.23
1991-10-01,527.34,543.11,513.08,542.98,,,3.06
1991-11-01,543.26,558.29,516.34,523.9,,,-3.51
1991-12-01,522.23,586.35,518.53,586.34,,,11.92
1992-01-01,584.28,633.08,576.04,620.21,,,5.78
1992-02-01,619.77,646.11,616.83,633.47,,,2.14
1992-03-01,633.85,637.25,599.41,603.77,,,-4.69
1992-04-01,601.58,603.7,557.03,578.68,,,-4.16
1992-05-01,579.96,591.27,571,585.31,,,1.15
1992-06-01,584.43,591.12,545.85,563.6,,,-3.71
1992-07-01,563.36,581.11,553.74,580.83,,,3.06
1992-08-01,580.75,583.9,550.23,563.12,,,-3.05
1992-09-01,563.21,594.27,562.19,583.27,,,3.58
1992-10-01,582.48,606.71,551.64,605.17,,,3.75
1992-11-01,605.48,652.77,603.23,652.73,,,7.86
1992-12-01,652.34,676.95,648.69,676.95,,,3.71
1993-01-01,676.78,711.29,670.4,696.34,,,2.86
1993-02-01,696.79,711.29,647.69,670.77,,,-3.67
1993-03-01,671.84,697.52,668.55,690.13,,,2.89
1993-04-01,690.24,691.22,644.59,661.42,,,-4.16
1993-05-01,662.29,707.29,661.24,700.53,,,5.91
1993-06-01,701.16,706.64,682.83,703.95,,,0.49
1993-07-01,704.42,714.12,694.49,704.7,,,0.11
1993-08-01,705.06,743.14,704.7,742.84,,,5.41
1993-09-01,742.79,766.67,724.32,762.78,,,2.68
1993-10-01,762.52,791.3,758.78,779.26,,,2.16
1993-11-01,779.78,786.26,737.53,754.39,,,-3.19
1993-12-01,757.4,777.02,750.25,776.8,,,2.97
1994-01-01,777.29,800.7,768.34,800.47,,,3.05
1994-02-01,799.99,800.51,767.07,792.5,,,-1
1994-03-01,793.35,804.53,731.74,743.46,,,-6.19
1994-04-01,737.13,755.6,703.15,733.84,,,-1.29
1994-05-01,735.01,742.68,703.78,735.19,,,0.18
1994-06-01,735.01,744.97,690.85,705.96,,,-3.98
1994-07-01,706.29,726.06,699.37,722.16,,,2.29
1994-08-01,722.84,767.67,715.77,765.62,,,6.02
1994-09-01,763,779.73,752.35,764.29,,,-0.17
1994-10-01,764.47,778.88,737.59,777.49,,,1.73
1994-11-01,776.25,777.52,728.72,750.32,,,-3.49
1994-12-01,748.83,752.21,710.87,751.96,,,0.22
1995-01-01,751.31,774.35,740.44,755.2,,,0.43
1995-02-01,756.68,796.24,755.2,793.73,,,5.1
1995-03-01,794.33,830.01,790.23,817.21,,,2.96
1995-04-01,816.06,844.45,810.82,843.98,,,3.28
1995-05-01,844.72,886.1,839.26,864.58,,,2.44
1995-06-01,865.67,940.21,863.76,933.45,,,7.97
1995-07-01,933.99,1011.9,931.95,1001.21,,,7.26
1995-08-01,1001.57,1035.35,970.6,1020.11,,,1.89
1995-09-01,1019.42,1070.47,1008.38,1043.54,,,2.3
1995-10-01,1041.39,1050.69,956.98,1036.06,,,-0.72
1995-11-01,1037.3,1068.8,1016.36,1059.2,,,2.23
1995-12-01,1060.66,1075.14,1001.37,1052.13,,,-0.67
1996-01-01,1052.83,1059.81,969.95,1059.79,,,0.73
1996-02-01,1058.26,1122.05,1057.7,1100.05,,,3.8
1996-03-01,1098.94,1119.89,1057.73,1101.4,,,0.12
1996-04-01,1105.77,1191.17,1092.23,1190.52,,,8.09
1996-05-01,1190.48,1252.92,1163.02,1243.43,,,4.44
1996-06-01,1242.54,1254.32,1147.58,1185.02,,,-4.7
1996-07-01,1185.64,1199.98,1008.44,1080.59,,,-8.81
1996-08-01,1081.34,1154.03,1080.41,1141.5,,,5.64
1996-09-01,1133.3,1237.26,1123.14,1226.92,,,7.48
1996-10-01,1223.73,1269.62,1202.36,1221.51,,,-0.44
1996-11-01,1223.72,1293.75,1165.81,1292.61,,,5.82
1996-12-01,1294.78,1328.95,1251.03,1291.03,,,-0.12
1997-01-01,1292.65,1400.53,1272.34,1379.85,,,6.88
1997-02-01,1383.97,1384.51,1296.88,1309,,,-5.13
1997-03-01,1306.21,1332.49,1220.4,1221.7,,,-6.67
1997-04-01,1211.28,1267.41,1194.16,1260.76,,,3.2
1997-05-01,1263.93,1414.26,1260.94,1400.32,,,11.07
1997-06-01,1407.07,1458.85,1375.45,1442.07,,,2.98
1997-07-01,1442.65,1595.76,1432.42,1593.81,,,10.52
1997-08-01,1594.67,1638.26,1545.13,1587.32,,,-0.41
1997-09-01,1595.07,1702.49,1587.32,1685.69,,,6.2
1997-10-01,1690.79,1748.78,1465.84,1593.61,,,-5.46
1997-11-01,1609.62,1654.43,1526.85,1600.55,,,0.44
1997-12-01,1608.56,1652.84,1486.23,1570.35,,,-1.89
1998-01-01,1574.1,1629.54,1465.61,1619.36,,,3.12
1998-02-01,1640.06,1783.74,1619.36,1770.51,,,9.33
1998-03-01,1778.72,1840.83,1708.48,1835.68,,,3.68
1998-04-01,1838.15,1931.83,1788.74,1868.41,,,1.78
1998-05-01,1871.81,1890.8,1741.72,1778.87,,,-4.79
1998-06-01,1770.37,1898.76,1715.04,1894.74,,,6.51
1998-07-01,1904.24,2028.18,1871.72,1872.39,,,-1.18
1998-08-01,1869.72,1874.31,1498.73,1499.25,,,-19.93
1998-09-01,1509.01,1769.71,1475.49,1693.84,,,12.98
1998-10-01,1663.3,1781.63,1357.09,1771.39,,,4.58
1998-11-01,1783.71,2025.04,1771.4,1949.54,,,10.06
1998-12-01,1928.51,2200.63,1924.15,2192.69,,,12.47
1999-01-01,2207.54,2506.68,2192.68,2505.89,,,14.28
1999-02-01,2522.38,2533.44,2224.21,2288.03,,,-8.69
1999-03-01,2286.83,2520.63,2235.19,2461.4,,,7.58
1999-04-01,2493.07,2677.76,2329.87,2542.85,,,3.31
1999-05-01,2546.33,2632.74,2339.12,2470.52,,,-2.84
1999-06-01,2467.51,2696.87,2364.59,2686.12,,,8.73
1999-07-01,2692.96,2874.92,2619.08,2638.49,,,-1.77
1999-08-01,2638.31,2819.9,2442.22,2739.35,,,3.82
