year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2005,22068,Franck Ribéry,France,Attack,FC Metz,FC Metz | Olympique Marseille,Jan-Oct: FC Metz | Nov-Dec: Olympique Marseille,12,0,122,8.5,8.5,2005-12
2006,22068,Franck Ribéry,France,Attack,Olympique Marseille,Olympique Marseille,Jan-Dec: Olympique Marseille,12,0,65,13.5,11,2006-12
2007,22068,Franck Ribéry,France,Attack,Olympique Marseille,Olympique Marseille | Bayern Munich,Jan-Jul: Olympique Marseille | Aug-Dec: Bayern Munich,12,0,31,25,25,2007-12
2008,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,24,30,30,2008-12
2009,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,13,40,40,2009-12
2010,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,8,50,45,2010-12
2011,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,5,9,45,38,2011-12
2012,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,8,9,42,42,2012-12
2013,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,12,42,42,2013-12
2014,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,19,42,38,2014-12
2015,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,33,38,15,2015-12
2016,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,237,15,9,2016-12
2017,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,561,9,5,2017-12
2018,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,1174,5,4,2018-12
2019,22068,Franck Ribéry,France,Attack,Bayern Munich,Bayern Munich | ACF Fiorentina,Jan-Nov: Bayern Munich | Dec: ACF Fiorentina,12,0,1742,4,4,2019-12
2020,22068,Franck Ribéry,France,Attack,ACF Fiorentina,ACF Fiorentina,Jan-Dec: ACF Fiorentina,12,0,1963,4,3,2020-12
2021,22068,Franck Ribéry,France,Attack,ACF Fiorentina,ACF Fiorentina | US Salernitana 1919,Jan-Sep: ACF Fiorentina | Oct-Dec: US Salernitana 1919,12,0,2331,3,1,2021-12
2022,22068,Franck Ribéry,France,Attack,US Salernitana 1919,US Salernitana 1919,Jan-Dec: US Salernitana 1919,12,0,4691,1,1,2022-12
2023,22068,Franck Ribéry,France,Attack,US Salernitana 1919,US Salernitana 1919,Jan-Nov: US Salernitana 1919,11,0,4787,1,1,2023-11
2004,4673,Wesley Sneijder,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam,Oct-Dec: Ajax Amsterdam,3,0,72,10,10,2004-12
2005,4673,Wesley Sneijder,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,87,10,10,2005-12
2006,4673,Wesley Sneijder,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam,Jan-Mar: Ajax Amsterdam,3,0,107,10,10,2006-03
2007,4673,Wesley Sneijder,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam | Real Madrid,Feb-Jul: Ajax Amsterdam | Aug-Dec: Real Madrid,11,0,28,27,27,2007-12
2008,4673,Wesley Sneijder,Netherlands,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,23,32,32,2008-12
2009,4673,Wesley Sneijder,Netherlands,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,27,30,25,2009-12
2010,4673,Wesley Sneijder,Netherlands,Midfield,FC Internazionale,FC Internazionale,Jan-Dec: FC Internazionale,12,0,11,45,45,2010-12
2011,4673,Wesley Sneijder,Netherlands,Midfield,FC Internazionale,FC Internazionale,Jan-Dec: FC Internazionale,12,2,10,42,40,2011-12
2012,4673,Wesley Sneijder,Netherlands,Midfield,FC Internazionale,FC Internazionale,Jan-Dec: FC Internazionale,12,0,14,38,28,2012-12
2013,4673,Wesley Sneijder,Netherlands,Midfield,Galatasaray,FC Internazionale | Galatasaray,Jan-May: FC Internazionale | Jun-Dec: Galatasaray,12,0,121,19,17,2013-12
2014,4673,Wesley Sneijder,Netherlands,Midfield,Galatasaray,Galatasaray,Jan-Dec: Galatasaray,12,0,174,18,18,2014-12
2015,4673,Wesley Sneijder,Netherlands,Midfield,Galatasaray,Galatasaray,Jan-Dec: Galatasaray,12,0,204,15.5,15,2015-12
2016,4673,Wesley Sneijder,Netherlands,Midfield,Galatasaray,Galatasaray,Jan-Dec: Galatasaray,12,0,291,13.5,11,2016-12
2017,4673,Wesley Sneijder,Netherlands,Midfield,Galatasaray,Galatasaray | OGC Nice,Jan-Sep: Galatasaray | Oct-Dec: OGC Nice,12,0,590,9,5,2017-12
2018,4673,Wesley Sneijder,Netherlands,Midfield,Al-Gharafa SC,OGC Nice | Al-Gharafa SC,Jan-Apr: OGC Nice | May-Dec: Al-Gharafa SC,12,0,1300,5,4,2018-12
2019,4673,Wesley Sneijder,Netherlands,Midfield,Al-Gharafa SC,Al-Gharafa SC,Jan-Nov: Al-Gharafa SC,11,0,1881,4,3,2019-11
2004,4360,Arjen Robben,Netherlands,Attack,Chelsea FC,Chelsea FC,Oct-Dec: Chelsea FC,3,0,24,20,20,2004-12
2005,4360,Arjen Robben,Netherlands,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,13,27.5,27.5,2005-12
2006,4360,Arjen Robben,Netherlands,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,11,27.5,25.7,2006-12
2007,4360,Arjen Robben,Netherlands,Attack,Chelsea FC,Chelsea FC | Real Madrid,Jan-Jul: Chelsea FC | Aug-Dec: Real Madrid,12,0,17,30,30,2007-12
2008,4360,Arjen Robben,Netherlands,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,18,30,28,2008-12
2009,4360,Arjen Robben,Netherlands,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,25,30,30,2009-12
2010,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,13,40,40,2010-12
2011,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,4,10,40,35,2011-12
2012,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,26,32,28,2012-12
2013,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,88,22,22,2013-12
2014,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,54,30,30,2014-12
2015,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,44,33,28,2015-12
2016,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,76,28,11,2016-12
2017,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,429,11,9,2017-12
2018,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,667,9,5,2018-12
2019,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,1409,5,4,2019-12
2020,4360,Arjen Robben,Netherlands,Attack,Bayern Munich,Bayern Munich | FC Groningen,Jan-Jun: Bayern Munich | Jul-Dec: FC Groningen,12,0,1693,4,1,2020-12
2021,4360,Arjen Robben,Netherlands,Attack,FC Groningen,FC Groningen,Jan-Dec: FC Groningen,12,0,6183,0.6,0.2,2021-12
2022,4360,Arjen Robben,Netherlands,Attack,FC Groningen,FC Groningen,Jan-Oct: FC Groningen,10,0,10878,0.2,0.2,2022-10
2005,26399,Sergio Agüero,Argentina,Attack,CA Independiente,CA Independiente,Dec: CA Independiente,1,0,861,1.25,1.25,2005-12
2006,26399,Sergio Agüero,Argentina,Attack,CA Independiente,CA Independiente | Atlético de Madrid,Jan-Jul: CA Independiente | Aug-Dec: Atlético de Madrid,12,0,26,23,23,2006-12
2007,26399,Sergio Agüero,Argentina,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,23,23,20,2007-12
2008,26399,Sergio Agüero,Argentina,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,26,28,28,2008-12
2009,26399,Sergio Agüero,Argentina,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,14,36,36,2009-12
2010,26399,Sergio Agüero,Argentina,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,18,36,36,2010-12
2011,26399,Sergio Agüero,Argentina,Attack,Atlético de Madrid,Atlético de Madrid | Manchester City,Jan-Jun: Atlético de Madrid | Jul-Dec: Manchester City,12,3,10,40,40,2011-12
2012,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,11,6,51,51,2012-12
2013,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,1,10,45,40,2013-12
2014,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,14,45,45,2014-12
2015,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,3,8,60,60,2015-12
2016,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,60,60,2016-12
2017,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,14,65,65,2017-12
2018,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,23,80,75,2018-12
2019,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,32,75,65,2019-12
2020,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,64,65,35,2020-12
2021,26399,Sergio Agüero,Argentina,Attack,Manchester City,Manchester City | FC Barcelona,Jan-Sep: Manchester City | Oct-Dec: FC Barcelona,12,0,188,35,15,2021-12
2022,26399,Sergio Agüero,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,643,15,15,2022-12
2023,26399,Sergio Agüero,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Mar: FC Barcelona,3,0,654,15,15,2023-03
2004,4276,Carlos Tevez,Argentina,Attack,CA Boca Juniors,CA Boca Juniors,Oct-Dec: CA Boca Juniors,3,0,35,15,15,2004-12
2005,4276,Carlos Tevez,Argentina,Attack,CA Boca Juniors,CA Boca Juniors,Jan-Dec: CA Boca Juniors,12,0,39,15,15,2005-12
2006,4276,Carlos Tevez,Argentina,Attack,CA Boca Juniors,CA Boca Juniors,Jan-Mar: CA Boca Juniors,3,0,47,15,15,2006-03
2007,4276,Carlos Tevez,Argentina,Attack,Manchester United,West Ham United | Manchester United,Apr-Jul: West Ham United | Aug-Dec: Manchester United,9,0,68,15,15,2007-12
2008,4276,Carlos Tevez,Argentina,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,27,28,28,2008-12
2009,4276,Carlos Tevez,Argentina,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,29,28,25,2009-12
2010,4276,Carlos Tevez,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,26,34,34,2010-12
2011,4276,Carlos Tevez,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,3,9,40,40,2011-12
2012,4276,Carlos Tevez,Argentina,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,40,22.5,2012-12
2013,4276,Carlos Tevez,Argentina,Attack,Juventus FC,Manchester City | Juventus FC,Jan-Jun: Manchester City | Jul-Dec: Juventus FC,12,0,58,27,20,2013-12
2014,4276,Carlos Tevez,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,94,23,23,2014-12
2015,4276,Carlos Tevez,Argentina,Attack,CA Boca Juniors,Juventus FC | CA Boca Juniors,Jan-Jun: Juventus FC | Jul-Dec: CA Boca Juniors,12,0,102,23,20,2015-12
2016,4276,Carlos Tevez,Argentina,Attack,CA Boca Juniors,CA Boca Juniors,Jan-Nov: CA Boca Juniors,11,0,142,20,8.5,2016-11
2004,6288,Mario Gómez,Germany,Attack,VfB Stuttgart II,VfB Stuttgart II,Oct-Dec: VfB Stuttgart II,3,0,1107,0.25,0.25,2004-12
2005,6288,Mario Gómez,Germany,Attack,VfB Stuttgart II,VfB Stuttgart II | VfB Stuttgart,Jan-Aug: VfB Stuttgart II | Sep-Dec: VfB Stuttgart,12,0,1035,0.8,0.8,2005-12
2006,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Dec: VfB Stuttgart,12,0,561,2.5,2.5,2006-12
2007,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Dec: VfB Stuttgart,12,0,198,8,8,2007-12
2008,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Dec: VfB Stuttgart,12,0,57,19,19,2008-12
2009,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Dec: VfB Stuttgart,12,0,27,30,30,2009-12
2010,6288,Mario Gómez,Germany,Attack,Bayern Munich,VfB Stuttgart | Bayern Munich,Jan-Apr: VfB Stuttgart | May-Dec: Bayern Munich,12,0,29,30,22,2010-12
2011,6288,Mario Gómez,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,19,35,35,2011-12
2012,6288,Mario Gómez,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,7,10,42,42,2012-12
2013,6288,Mario Gómez,Germany,Attack,ACF Fiorentina,Bayern Munich | ACF Fiorentina,Jan-Jun: Bayern Munich | Jul-Dec: ACF Fiorentina,12,0,15,42,24,2013-12
2014,6288,Mario Gómez,Germany,Attack,ACF Fiorentina,ACF Fiorentina,Jan-Dec: ACF Fiorentina,12,0,98,22,16,2014-12
2015,6288,Mario Gómez,Germany,Attack,ACF Fiorentina,ACF Fiorentina | Besiktas JK,Jan-Sep: ACF Fiorentina | Oct-Dec: Besiktas JK,12,0,230,15,11.5,2015-12
2016,6288,Mario Gómez,Germany,Attack,Besiktas JK,Besiktas JK | VfL Wolfsburg,Jan-Sep: Besiktas JK | Oct-Dec: VfL Wolfsburg,12,0,335,12,10,2016-12
2017,6288,Mario Gómez,Germany,Attack,VfL Wolfsburg,VfL Wolfsburg,Jan-Dec: VfL Wolfsburg,12,0,507,10,6,2017-12
2018,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfL Wolfsburg | VfB Stuttgart,Jan-May: VfL Wolfsburg | Jun-Dec: VfB Stuttgart,12,0,1048,6,4,2018-12
2019,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Dec: VfB Stuttgart,12,0,1815,4,1,2019-12
2020,6288,Mario Gómez,Germany,Attack,VfB Stuttgart,VfB Stuttgart,Jan-Nov: VfB Stuttgart,11,0,4786,1,0.8,2020-11
2006,35518,David Silva,Spain,Midfield,Celta de Vigo,Celta de Vigo,Feb-Dec: Celta de Vigo,11,0,1037,0.8,0.8,2006-12
2007,35518,David Silva,Spain,Midfield,Valencia CF,Celta de Vigo | Valencia CF,Jan: Celta de Vigo | Feb-Dec: Valencia CF,12,0,63,15,15,2007-12
2008,35518,David Silva,Spain,Midfield,Valencia CF,Valencia CF,Jan-Dec: Valencia CF,12,0,44,22,22,2008-12
2009,35518,David Silva,Spain,Midfield,Valencia CF,Valencia CF,Jan-Dec: Valencia CF,12,0,34,28,28,2009-12
2010,35518,David Silva,Spain,Midfield,Valencia CF,Valencia CF | Manchester City,Jan-Jul: Valencia CF | Aug-Dec: Manchester City,12,0,22,32,32,2010-12
2011,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,24,34,34,2011-12
2012,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,11,7,50,50,2012-12
2013,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,44,40,2013-12
2014,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,21,40,40,2014-12
2015,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,28,40,38,2015-12
2016,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,39,38,33,2016-12
2017,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,66,33,30,2017-12
2018,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,134,30,25,2018-12
2019,35518,David Silva,Spain,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,273,25,15,2019-12
2020,35518,David Silva,Spain,Midfield,Manchester City,Manchester City | Real Sociedad,Jan-Sep: Manchester City | Oct-Dec: Real Sociedad,12,0,641,15,5,2020-12
2021,35518,David Silva,Spain,Midfield,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,1576,5,4,2021-12
2022,35518,David Silva,Spain,Midfield,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,1836,4,4,2022-12
2023,35518,David Silva,Spain,Midfield,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,1908,4,4,2023-12
2024,35518,David Silva,Spain,Midfield,Real Sociedad,Real Sociedad,Jan-Nov: Real Sociedad,11,0,2045,4,4,2024-11
2004,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Oct-Dec: Arsenal FC,3,0,196,5,5,2004-12
2005,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,169,7.25,7.25,2005-12
2006,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,126,8.5,8.5,2006-12
2007,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,60,15,15,2007-12
2008,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,80,16,16,2008-12
2009,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,62,21,21,2009-12
2010,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,52,25,25,2010-12
2011,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,36,30,30,2011-12
2012,4380,Robin van Persie,Netherlands,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,11,8,47.5,47.5,2012-12
2013,4380,Robin van Persie,Netherlands,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,5,9,45,45,2013-12
2014,4380,Robin van Persie,Netherlands,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,24,40,33,2014-12
2015,4380,Robin van Persie,Netherlands,Attack,Manchester United,Manchester United | Fenerbahce,Jan-Sep: Manchester United | Oct-Dec: Fenerbahce,12,0,47,33,13,2015-12
2016,4380,Robin van Persie,Netherlands,Attack,Fenerbahce,Fenerbahce,Jan-Dec: Fenerbahce,12,0,372,11,9,2016-12
2017,4380,Robin van Persie,Netherlands,Attack,Fenerbahce,Fenerbahce,Jan-Dec: Fenerbahce,12,0,780,7,4,2017-12
2018,4380,Robin van Persie,Netherlands,Attack,Feyenoord Rotterdam,Fenerbahce | Feyenoord Rotterdam,Jan: Fenerbahce | Feb-Dec: Feyenoord Rotterdam,12,0,1526,4,1.5,2018-12
2019,4380,Robin van Persie,Netherlands,Attack,Feyenoord Rotterdam,Feyenoord Rotterdam,Jan-Dec: Feyenoord Rotterdam,12,0,3573,1.5,1.5,2019-12
2020,4380,Robin van Persie,Netherlands,Attack,Feyenoord Rotterdam,Feyenoord Rotterdam,Jan-Nov: Feyenoord Rotterdam,11,0,3499,1.5,1.5,2020-11
2007,39152,Radamel Falcao,Colombia,Attack,CA River Plate,CA River Plate,Sep-Dec: CA River Plate,4,0,647,3.75,3.75,2007-12
2008,39152,Radamel Falcao,Colombia,Attack,CA River Plate,CA River Plate,Jan-Dec: CA River Plate,12,0,405,6.5,6.5,2008-12
2009,39152,Radamel Falcao,Colombia,Attack,CA River Plate,CA River Plate,Jan-Dec: CA River Plate,12,0,443,6.5,6.5,2009-12
2010,39152,Radamel Falcao,Colombia,Attack,FC Porto,CA River Plate | FC Porto,Jan: CA River Plate | Feb-Dec: FC Porto,12,0,202,12.2,12.2,2010-12
2011,39152,Radamel Falcao,Colombia,Attack,FC Porto,FC Porto | Atlético de Madrid,Jan-Aug: FC Porto | Sep-Dec: Atlético de Madrid,12,0,39,30,30,2011-12
2012,39152,Radamel Falcao,Colombia,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,5,8,50,50,2012-12
2013,39152,Radamel Falcao,Colombia,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,12,5,60,60,2013-12
2014,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,12,6,60,55,2014-12
2015,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco | Manchester United,Jan: AS Monaco | Feb-Jun: Manchester United | Jul-Dec: AS Monaco,12,1,9,55,35,2015-12
2016,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco | Chelsea FC,Jan: AS Monaco | Feb-Jun: Chelsea FC | Jul-Dec: AS Monaco,12,0,53,35,15,2016-12
2017,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,308,15,15,2017-12
2018,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,427,15,12,2018-12
2019,39152,Radamel Falcao,Colombia,Attack,AS Monaco,AS Monaco | Galatasaray,Jan-Sep: AS Monaco | Oct-Dec: Galatasaray,12,0,727,12,8,2019-12
2020,39152,Radamel Falcao,Colombia,Attack,Galatasaray,Galatasaray,Jan-Dec: Galatasaray,12,0,1540,6,3.5,2020-12
2021,39152,Radamel Falcao,Colombia,Attack,Galatasaray,Galatasaray | Rayo Vallecano,Jan-Nov: Galatasaray | Dec: Rayo Vallecano,12,0,2191,3.5,2,2021-12
2022,39152,Radamel Falcao,Colombia,Attack,Rayo Vallecano,Rayo Vallecano,Jan-Dec: Rayo Vallecano,12,0,3336,2,2,2022-12
2023,39152,Radamel Falcao,Colombia,Attack,Rayo Vallecano,Rayo Vallecano,Jan-Dec: Rayo Vallecano,12,0,3448,2,1.2,2023-12
2024,39152,Radamel Falcao,Colombia,Attack,Rayo Vallecano,Rayo Vallecano,Jan-Dec: Rayo Vallecano,12,0,4740,1.2,0.8,2024-12
2025,39152,Radamel Falcao,Colombia,Attack,Rayo Vallecano,Rayo Vallecano,Jan-Nov: Rayo Vallecano,11,0,4675,0.8,0.8,2025-11
2026,39152,Radamel Falcao,Colombia,Attack,Millonarios FC,Millonarios FC,Jun: Millonarios FC,1,0,5245,0.8,0.8,2026-06
2008,80562,Hulk,Brazil,Attack,FC Porto,FC Porto,Jul-Dec: FC Porto,6,0,542,5,5,2008-12
2009,80562,Hulk,Brazil,Attack,FC Porto,FC Porto,Jan-Dec: FC Porto,12,0,171,12.5,12.5,2009-12
2010,80562,Hulk,Brazil,Attack,FC Porto,FC Porto,Jan-Dec: FC Porto,12,0,174,14,14,2010-12
2011,80562,Hulk,Brazil,Attack,FC Porto,FC Porto,Jan-Dec: FC Porto,12,0,30,31,31,2011-12
2012,80562,Hulk,Brazil,Attack,FC Porto,FC Porto | Zenit St. Petersburg,Jan-Aug: FC Porto | Sep-Dec: Zenit St. Petersburg,12,4,10,45,45,2012-12
2013,80562,Hulk,Brazil,Attack,Zenit St. Petersburg,Zenit St. Petersburg,Jan-Dec: Zenit St. Petersburg,12,8,8,45,45,2013-12
2014,80562,Hulk,Brazil,Attack,Zenit St. Petersburg,Zenit St. Petersburg,Jan-Dec: Zenit St. Petersburg,12,0,12,48,45,2014-12
2015,80562,Hulk,Brazil,Attack,Zenit St. Petersburg,Zenit St. Petersburg,Jan-Dec: Zenit St. Petersburg,12,0,20,45,37,2015-12
2016,80562,Hulk,Brazil,Attack,Zenit St. Petersburg,Zenit St. Petersburg | Shanghai SIPG,Jan-Oct: Zenit St. Petersburg | Nov-Dec: Shanghai SIPG,12,0,42,37,22,2016-12
2017,80562,Hulk,Brazil,Attack,Shanghai SIPG,Shanghai SIPG,Jan-Dec: Shanghai SIPG,12,0,151,22,21,2017-12
2018,80562,Hulk,Brazil,Attack,Shanghai SIPG,Shanghai SIPG,Jan-Dec: Shanghai SIPG,12,0,225,21,20,2018-12
2019,80562,Hulk,Brazil,Attack,Shanghai SIPG,Shanghai SIPG,Jan-Dec: Shanghai SIPG,12,0,365,20,8.5,2019-12
2020,80562,Hulk,Brazil,Attack,Shanghai SIPG,Shanghai SIPG | Shanghai Port,Jan-Jul: Shanghai SIPG | Aug-Dec: Shanghai Port,12,0,1113,8.5,2.5,2020-12
2021,80562,Hulk,Brazil,Attack,Clube Atlético Mineiro,Shanghai Port | Clube Atlético Mineiro,Jan-Apr: Shanghai Port | May-Dec: Clube Atlético Mineiro,12,0,2664,2.5,2.5,2021-12
2022,80562,Hulk,Brazil,Attack,Clube Atlético Mineiro,Clube Atlético Mineiro,Jan-Dec: Clube Atlético Mineiro,12,0,2747,2.5,2.5,2022-12
2023,80562,Hulk,Brazil,Attack,Clube Atlético Mineiro,Clube Atlético Mineiro,Jan-Dec: Clube Atlético Mineiro,12,0,2832,2.5,2,2023-12
2024,80562,Hulk,Brazil,Attack,Clube Atlético Mineiro,Clube Atlético Mineiro,Jan-Dec: Clube Atlético Mineiro,12,0,3305,2,2,2024-12
2026,80562,Hulk,Brazil,Attack,Clube Atlético Mineiro,Clube Atlético Mineiro,Jun: Clube Atlético Mineiro,1,0,3291,2,2,2026-06
2007,48280,Edinson Cavani,Uruguay,Attack,US Palermo,US Palermo,Apr-Dec: US Palermo,9,0,332,4.85,4.85,2007-12
2008,48280,Edinson Cavani,Uruguay,Attack,US Palermo,US Palermo,Jan-Dec: US Palermo,12,0,480,5,5,2008-12
2009,48280,Edinson Cavani,Uruguay,Attack,US Palermo,US Palermo,Jan-Dec: US Palermo,12,0,235,10.5,10.5,2009-12
2010,48280,Edinson Cavani,Uruguay,Attack,US Palermo,US Palermo | SSC Napoli,Jan-Jul: US Palermo | Aug-Dec: SSC Napoli,12,0,143,15.5,15.5,2010-12
