player_id,name,player_code,country,date_of_birth,position,sub_position,current_club,current_competition_id,first_top10_month,last_top10_month,top10_months,peak_rank,peak_value_eur,peak_value_million_eur,peak_value_month,latest_tracked_month,latest_value_eur,latest_value_million_eur,latest_global_rank,color,image_url,player_url,transfer_history_status,photo_mosaic_status
3411,Pablo Aimar,pablo-aimar,Argentina,1979-11-03,Midfield,Attacking Midfield,Sport Lisboa e Benfica,PO1,2004-10,2005-01,2,10,25000000,25,2004-10,2014-11,500000,0.5,6825,#45E367,https://img.a.transfermarkt.technology/portrait/header/3411-1603456488.jpg?lm=1,https://www.transfermarkt.co.uk/pablo-aimar/profil/spieler/3411,pending,image_url_available
7767,Fernando Torres,fernando-torres,Spain,1984-03-20,Attack,Centre-Forward,Club Atlético de Madrid S.A.D.,ES1,2004-11,2012-01,56,5,50000000,50,2010-04,2019-11,2500000,2.5,2746,#B145E3,https://img.a.transfermarkt.technology/portrait/header/7767-1683642827.jpg?lm=1,https://www.transfermarkt.co.uk/fernando-torres/profil/spieler/7767,pending,image_url_available
4257,Samuel Eto'o,samuel-etoo,Cameroon,1981-03-10,Attack,Centre-Forward,Konyaspor,TR1,2004-12,2011-09,58,2,42000000,42,2009-01,2019-11,1000000,1,4916,#E38145,https://img.a.transfermarkt.technology/portrait/header/4257-1683640611.jpg?lm=1,https://www.transfermarkt.co.uk/samuel-etoo/profil/spieler/4257,pending,image_url_available
3979,Iker Casillas,iker-casillas,Spain,1981-05-20,Goalkeeper,Goalkeeper,Futebol Clube do Porto,PO1,2005-01,2005-01,1,9,25000000,25,2005-01,2020-11,1000000,1,4518,#4545E3,https://img.a.transfermarkt.technology/portrait/header/3979-1542105569.png?lm=1,https://www.transfermarkt.co.uk/iker-casillas/profil/spieler/3979,pending,image_url_available
3163,Frank Lampard,frank-lampard,England,1978-06-20,Midfield,Central Midfield,Manchester City Football Club,GB1,2005-02,2009-12,48,1,45000000,45,2009-06,2016-11,1000000,1,3949,#4D7CFF,https://img.a.transfermarkt.technology/portrait/header/3163-1674475335.jpg?lm=1,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163,pending,image_url_available
3109,Steven Gerrard,steven-gerrard,England,1980-05-30,Midfield,Central Midfield,Liverpool Football Club,GB1,2005-02,2010-07,63,4,50000000,50,2009-06,2016-11,1750000,1.75,2798,#B1E345,https://img.a.transfermarkt.technology/portrait/header/3109-1464112254.jpg?lm=1,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,pending,image_url_available
3235,Rio Ferdinand,rio-ferdinand,England,1978-11-07,Defender,Centre-Back,Queens Park Rangers,GB1,2005-02,2005-07,6,5,29500000,29.5,2005-02,2016-07,1000000,1,4198,#B1E345,https://img.a.transfermarkt.technology/portrait/header/3235-1592469934.jpg?lm=1,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,pending,image_url_available
5023,Gianluigi Buffon,gianluigi-buffon,Italy,1978-01-28,Goalkeeper,Goalkeeper,Juventus Football Club,IT1,2005-06,2007-05,24,2,35000000,35,2005-07,2022-11,1000000,1,4878,#E37F45,https://img.a.transfermarkt.technology/portrait/header/5023-1448530267.jpg?lm=1,https://www.transfermarkt.co.uk/gianluigi-buffon/profil/spieler/5023,pending,image_url_available
5878,Alberto Gilardino,alberto-gilardino,Italy,1982-07-05,Attack,Centre-Forward,Delfino Pescara 1936,IT1,2005-07,2006-03,9,7,30000000,30,2005-07,2018-11,200000,0.2,10445,#45B1E3,https://img.a.transfermarkt.technology/portrait/header/5878-1448984743.jpg?lm=1,https://www.transfermarkt.co.uk/alberto-gilardino/profil/spieler/5878,pending,image_url_available
5588,Michael Essien,michael-essien,Ghana,1982-12-03,Midfield,Defensive Midfield,Panathinaikos Athlitikos Omilos,GR1,2005-08,2007-03,20,1,38000000,38,2005-08,2017-11,500000,0.5,6828,#45C1E3,https://img.a.transfermarkt.technology/portrait/header/5588-1567972232.png?lm=1,https://www.transfermarkt.co.uk/michael-essien/profil/spieler/5588,pending,image_url_available
