country,crossover_count,first_observed_leader,first_observed_month,latest_leader,latest_month,latest_android_share,latest_ios_share,latest_ios_minus_android_pp,leader_timeline,source
Virgin Island U.S.,22,iOS,2009-01,iOS,2026-05,42.02,57.97,15.95,2009-01:iOS | 2013-09:Android | 2013-11:iOS | 2014-05:Android | 2014-06:iOS | 2014-11:Android | 2014-12:iOS | 2015-01:Android | 2015-11:iOS | 2016-01:Android | 2016-03:iOS | 2016-04:Android | 2016-09:iOS | 2017-06:Android | 2017-10:iOS | 2017-11:Android | 2018-06:iOS | 2018-08:Android | 2018-11:iOS | 2019-03:Android | 2020-04:iOS | 2020-05:Android | 2020-07:iOS,StatCounter GlobalStats mobile OS web usage share
Liechtenstein,20,iOS,2009-01,iOS,2026-05,25.99,74.01,48.02,2009-01:iOS | 2014-09:Android | 2014-10:iOS | 2014-11:Android | 2014-12:iOS | 2015-01:Android | 2015-02:iOS | 2015-09:Android | 2015-10:iOS | 2019-06:Android | 2019-11:iOS | 2020-01:Android | 2020-02:iOS | 2020-06:Android | 2020-07:iOS | 2020-08:Android | 2020-09:iOS | 2023-07:Android | 2024-03:iOS | 2024-04:Android | 2024-09:iOS,StatCounter GlobalStats mobile OS web usage share
Saint Martin Collectivity of,20,iOS,2013-01,iOS,2026-05,30.7,69.3,38.6,2013-01:iOS | 2013-07:Android | 2014-01:iOS | 2014-02:Android | 2017-02:iOS | 2017-03:Android | 2019-12:iOS | 2020-02:Android | 2020-03:iOS | 2020-04:Android | 2020-11:iOS | 2021-02:Android | 2021-03:iOS | 2021-06:Android | 2021-11:iOS | 2024-09:Android | 2024-11:iOS | 2025-04:Android | 2025-06:iOS | 2025-10:Android | 2025-11:iOS,StatCounter GlobalStats mobile OS web usage share
Wallis and Futuna,20,iOS,2009-03,iOS,2026-05,37.91,62.09,24.18,2009-03:iOS | 2012-09:Android | 2012-10:iOS | 2012-11:Android | 2013-01:iOS | 2013-07:Android | 2013-08:iOS | 2013-09:Android | 2013-10:iOS | 2014-01:Android | 2014-03:iOS | 2014-05:Android | 2014-11:iOS | 2015-01:Android | 2021-11:iOS | 2022-06:Android | 2024-09:iOS | 2024-11:Android | 2026-01:iOS | 2026-02:Android | 2026-03:iOS,StatCounter GlobalStats mobile OS web usage share
Aruba,18,iOS,2009-01,iOS,2026-05,48.05,51.95,3.9,2009-01:iOS | 2011-11:Android | 2012-02:iOS | 2012-03:Android | 2012-04:iOS | 2012-05:Android | 2012-07:iOS | 2012-08:Android | 2013-02:iOS | 2013-05:Android | 2013-08:iOS | 2013-09:Android | 2022-12:iOS | 2023-01:Android | 2024-12:iOS | 2025-03:Android | 2025-04:iOS | 2025-05:Android | 2025-07:iOS,StatCounter GlobalStats mobile OS web usage share
Bermuda,18,iOS,2009-01,iOS,2026-05,0.29,99.71,99.42,2009-01:iOS | 2013-11:Android | 2016-05:iOS | 2016-12:Android | 2017-01:iOS | 2017-02:Android | 2017-05:iOS | 2017-06:Android | 2017-07:iOS | 2017-08:Android | 2017-09:iOS | 2018-09:Android | 2018-10:iOS | 2019-03:Android | 2019-05:iOS | 2019-08:Android | 2019-09:iOS | 2019-10:Android | 2019-12:iOS,StatCounter GlobalStats mobile OS web usage share
Ireland,18,iOS,2009-01,iOS,2026-05,49.77,50.22,0.45,2009-01:iOS | 2014-08:Android | 2015-04:iOS | 2015-05:Android | 2017-08:iOS | 2017-09:Android | 2018-11:iOS | 2018-12:Android | 2021-03:iOS | 2021-04:Android | 2021-07:iOS | 2021-08:Android | 2021-09:iOS | 2022-01:Android | 2022-05:iOS | 2022-06:Android | 2022-10:iOS | 2022-11:Android | 2026-04:iOS,StatCounter GlobalStats mobile OS web usage share
Marshall Islands,17,iOS,2009-01,Android,2026-05,61.86,38.14,-23.72,2009-01:iOS | 2012-03:Android | 2012-04:iOS | 2012-08:Android | 2012-09:iOS | 2012-11:Android | 2012-12:iOS | 2013-04:Android | 2013-05:iOS | 2013-08:Android | 2013-10:iOS | 2014-01:Android | 2014-05:iOS | 2014-06:Android | 2014-08:iOS | 2014-11:Android | 2014-12:iOS | 2015-01:Android,StatCounter GlobalStats mobile OS web usage share
Montserrat,17,iOS,2009-01,Android,2026-05,63.28,36.72,-26.56,2009-01:iOS | 2010-01:Android | 2010-02:iOS | 2010-10:Android | 2010-12:iOS | 2012-05:Android | 2012-08:iOS | 2012-09:Android | 2014-01:iOS | 2014-02:Android | 2014-07:iOS | 2014-09:Android | 2022-01:iOS | 2022-02:Android | 2022-10:iOS | 2022-11:Android | 2026-03:iOS | 2026-04:Android,StatCounter GlobalStats mobile OS web usage share
Antarctica,16,iOS,2010-02,iOS,2026-05,27.59,72.41,44.82,2010-02:iOS | 2011-07:Android | 2011-11:iOS | 2012-01:Android | 2014-10:iOS | 2015-02:Android | 2015-03:iOS | 2015-05:Android | 2015-08:iOS | 2015-09:Android | 2016-04:iOS | 2016-08:Android | 2017-01:iOS | 2020-04:Android | 2020-06:iOS | 2020-09:Android | 2020-12:iOS,StatCounter GlobalStats mobile OS web usage share
Cayman Islands,16,iOS,2009-01,iOS,2026-05,39.58,60.42,20.84,2009-01:iOS | 2014-11:Android | 2017-12:iOS | 2018-01:Android | 2018-04:iOS | 2018-08:Android | 2018-11:iOS | 2019-01:Android | 2019-02:iOS | 2019-04:Android | 2020-04:iOS | 2020-05:Android | 2020-06:iOS | 2024-12:Android | 2025-01:iOS | 2025-05:Android | 2025-06:iOS,StatCounter GlobalStats mobile OS web usage share
Iceland,16,iOS,2009-01,iOS,2026-05,37.66,62.33,24.67,2009-01:iOS | 2014-07:Android | 2015-02:iOS | 2015-03:Android | 2018-11:iOS | 2018-12:Android | 2020-10:iOS | 2021-05:Android | 2021-07:iOS | 2021-08:Android | 2021-09:iOS | 2022-03:Android | 2022-09:iOS | 2024-06:Android | 2024-09:iOS | 2025-08:Android | 2025-09:iOS,StatCounter GlobalStats mobile OS web usage share
Anguilla,14,iOS,2009-01,iOS,2026-05,31.88,68.12,36.24,2009-01:iOS | 2013-08:Android | 2013-10:iOS | 2013-11:Android | 2014-02:iOS | 2014-06:Android | 2014-07:iOS | 2014-08:Android | 2022-03:iOS | 2022-06:Android | 2023-02:iOS | 2023-05:Android | 2023-11:iOS | 2025-07:Android | 2025-09:iOS,StatCounter GlobalStats mobile OS web usage share
Belize,14,iOS,2009-01,iOS,2026-05,48.94,51.05,2.11,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2012-06:Android | 2012-07:iOS | 2012-09:Android | 2013-03:iOS | 2013-05:Android | 2021-12:iOS | 2022-06:Android | 2022-11:iOS | 2022-12:Android | 2023-03:iOS | 2023-04:Android | 2023-11:iOS,StatCounter GlobalStats mobile OS web usage share
Virgin Islands British,14,iOS,2009-01,iOS,2026-05,39.15,60.85,21.7,2009-01:iOS | 2014-04:Android | 2014-07:iOS | 2014-08:Android | 2022-04:iOS | 2022-08:Android | 2022-11:iOS | 2023-04:Android | 2024-03:iOS | 2024-06:Android | 2024-11:iOS | 2024-12:Android | 2025-01:iOS | 2025-08:Android | 2025-11:iOS,StatCounter GlobalStats mobile OS web usage share
Comoros,13,iOS,2009-02,Android,2026-05,80.97,19.03,-61.94,2009-02:iOS | 2010-07:Android | 2010-08:iOS | 2011-03:Android | 2011-04:iOS | 2011-07:Android | 2011-08:iOS | 2011-11:Android | 2012-01:iOS | 2012-06:Android | 2012-07:iOS | 2012-08:Android | 2013-02:iOS | 2013-03:Android,StatCounter GlobalStats mobile OS web usage share
Nauru,13,iOS,2009-03,Android,2026-05,89.79,10.21,-79.58,2009-03:iOS | 2012-03:Android | 2012-05:iOS | 2012-06:Android | 2012-09:iOS | 2013-03:Android | 2013-04:iOS | 2013-07:Android | 2013-11:iOS | 2013-12:Android | 2014-03:iOS | 2014-04:Android | 2015-01:iOS | 2015-02:Android,StatCounter GlobalStats mobile OS web usage share
Belgium,12,iOS,2009-01,iOS,2026-05,49.29,50.67,1.38,2009-01:iOS | 2014-05:Android | 2014-06:iOS | 2014-07:Android | 2022-11:iOS | 2023-01:Android | 2023-04:iOS | 2023-06:Android | 2023-11:iOS | 2024-01:Android | 2025-12:iOS | 2026-01:Android | 2026-05:iOS,StatCounter GlobalStats mobile OS web usage share
Hong Kong,12,iOS,2009-01,iOS,2026-05,49.9,50.07,0.17,2009-01:iOS | 2012-02:Android | 2018-08:iOS | 2019-06:Android | 2021-10:iOS | 2021-11:Android | 2022-02:iOS | 2022-04:Android | 2023-05:iOS | 2023-06:Android | 2023-09:iOS | 2024-05:Android | 2026-03:iOS,StatCounter GlobalStats mobile OS web usage share
Congo,11,iOS,2009-01,Android,2026-05,82.34,17.66,-64.68,2009-01:iOS | 2010-11:Android | 2011-01:iOS | 2011-03:Android | 2011-05:iOS | 2011-06:Android | 2011-09:iOS | 2011-10:Android | 2012-02:iOS | 2012-03:Android | 2012-08:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
