country,crossover_count,first_observed_leader,first_observed_month,latest_leader,latest_month,latest_android_share,latest_ios_share,latest_ios_minus_android_pp,leader_timeline,source
Moldova Republic of,1,iOS,2009-01,Android,2026-05,54.02,45.97,-8.05,2009-01:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Montenegro,1,iOS,2009-01,Android,2026-05,64.69,35.3,-29.39,2009-01:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Myanmar,1,iOS,2009-01,Android,2026-05,83.09,16.87,-66.22,2009-01:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Namibia,1,iOS,2009-01,Android,2026-05,80.27,19.72,-60.55,2009-01:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Nepal,1,iOS,2009-01,Android,2026-05,75.48,24.49,-50.99,2009-01:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
New Caledonia,1,iOS,2009-01,Android,2026-05,75.54,24.45,-51.09,2009-01:iOS | 2012-11:Android,StatCounter GlobalStats mobile OS web usage share
Nicaragua,1,iOS,2009-01,Android,2026-05,80.73,19.27,-61.46,2009-01:iOS | 2011-06:Android,StatCounter GlobalStats mobile OS web usage share
Nigeria,1,iOS,2009-01,Android,2026-05,83.21,16.6,-66.61,2009-01:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Oman,1,iOS,2009-01,Android,2026-05,74.57,25.41,-49.16,2009-01:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Pakistan,1,iOS,2009-01,Android,2026-05,92.85,7.01,-85.84,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Palestinian Territory,1,iOS,2009-01,Android,2026-05,89.43,10.57,-78.86,2009-01:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Panama,1,iOS,2009-01,Android,2026-05,67.47,32.5,-34.97,2009-01:iOS | 2011-07:Android,StatCounter GlobalStats mobile OS web usage share
Papua New Guinea,1,iOS,2009-01,Android,2026-05,95.87,3.87,-92,2009-01:iOS | 2011-09:Android,StatCounter GlobalStats mobile OS web usage share
Paraguay,1,iOS,2009-01,Android,2026-05,76.54,23.46,-53.08,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Peru,1,iOS,2009-01,Android,2026-05,79.48,20.5,-58.98,2009-01:iOS | 2011-03:Android,StatCounter GlobalStats mobile OS web usage share
Philippines,1,iOS,2009-01,Android,2026-05,89.41,10.57,-78.84,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Poland,1,iOS,2009-01,Android,2026-05,64.98,35.01,-29.97,2009-01:iOS | 2010-11:Android,StatCounter GlobalStats mobile OS web usage share
Portugal,1,iOS,2009-01,Android,2026-05,62.02,37.97,-24.05,2009-01:iOS | 2011-09:Android,StatCounter GlobalStats mobile OS web usage share
Qatar,1,iOS,2009-01,Android,2026-05,77.44,22.52,-54.92,2009-01:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Romania,1,iOS,2009-01,Android,2026-05,68.71,31.19,-37.52,2009-01:iOS | 2011-06:Android,StatCounter GlobalStats mobile OS web usage share
Russian Federation,1,iOS,2009-01,Android,2026-05,58.6,41.36,-17.24,2009-01:iOS | 2011-06:Android,StatCounter GlobalStats mobile OS web usage share
Rwanda,1,iOS,2009-01,Android,2026-05,76.69,23.19,-53.5,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Senegal,1,iOS,2009-01,Android,2026-05,78.32,21.67,-56.65,2009-01:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Serbia,1,iOS,2009-01,Android,2026-05,75.77,24.21,-51.56,2009-01:iOS | 2010-07:Android,StatCounter GlobalStats mobile OS web usage share
Singapore,1,iOS,2009-01,Android,2026-05,52.22,47.74,-4.48,2009-01:iOS | 2013-05:Android,StatCounter GlobalStats mobile OS web usage share
Slovakia,1,iOS,2009-01,Android,2026-05,68.09,31.9,-36.19,2009-01:iOS | 2011-01:Android,StatCounter GlobalStats mobile OS web usage share
Slovenia,1,iOS,2009-01,Android,2026-05,65.07,34.92,-30.15,2009-01:iOS | 2010-09:Android,StatCounter GlobalStats mobile OS web usage share
South Africa,1,iOS,2009-01,Android,2026-05,76.72,23.25,-53.47,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Spain,1,iOS,2009-01,Android,2026-05,67.32,32.67,-34.65,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Sri Lanka,1,iOS,2009-01,Android,2026-05,78.89,21.09,-57.8,2009-01:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Sudan,1,iOS,2009-01,Android,2026-05,97.52,2.44,-95.08,2009-01:iOS | 2011-06:Android,StatCounter GlobalStats mobile OS web usage share
Suriname,1,iOS,2009-01,Android,2026-05,65.7,34.3,-31.4,2009-01:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Syrian Arab Republic,1,iOS,2009-01,Android,2026-05,96.71,3.28,-93.43,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Tajikistan,1,iOS,2009-01,Android,2026-05,82.29,17.68,-64.61,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Tanzania United Republic of,1,iOS,2009-01,Android,2026-05,93.36,6.35,-87.01,2009-01:iOS | 2011-09:Android,StatCounter GlobalStats mobile OS web usage share
Thailand,1,iOS,2009-01,Android,2026-05,68.4,31.52,-36.88,2009-01:iOS | 2011-07:Android,StatCounter GlobalStats mobile OS web usage share
Tunisia,1,iOS,2009-01,Android,2026-05,83.54,16.44,-67.1,2009-01:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Turkey,1,iOS,2009-01,Android,2026-05,74.47,25.53,-48.94,2009-01:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Uganda,1,iOS,2009-01,Android,2026-05,90.89,9.05,-81.84,2009-01:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Ukraine,1,iOS,2009-01,Android,2026-05,61.77,38.21,-23.56,2009-01:iOS | 2011-07:Android,StatCounter GlobalStats mobile OS web usage share
United Arab Emirates,1,iOS,2009-01,Android,2026-05,78.91,21.07,-57.84,2009-01:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Uzbekistan,1,iOS,2009-01,Android,2026-05,78.47,21.5,-56.97,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Venezuela,1,iOS,2009-01,Android,2026-05,83.36,16.61,-66.75,2009-01:iOS | 2011-05:Android,StatCounter GlobalStats mobile OS web usage share
Yemen,1,iOS,2009-01,Android,2026-05,97.12,2.81,-94.31,2009-01:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Zambia,1,iOS,2009-01,Android,2026-05,88.98,10.99,-77.99,2009-01:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Faroe Islands,0,iOS,2009-01,iOS,2026-05,14.52,85.48,70.96,2009-01:iOS,StatCounter GlobalStats mobile OS web usage share
Isle of Man,0,iOS,2009-02,iOS,2026-05,46.14,53.85,7.71,2009-02:iOS,StatCounter GlobalStats mobile OS web usage share
