year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,color,source,indicator,source_url
1978,Italy,ITA,IT,Europe & Central Asia,High income,9806640000,9806.64,0.009807,15,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Denmark,DNK,DK,Europe & Central Asia,High income,5134510000,5134.51,0.005135,16,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,"Iran, Islamic Rep.",IRN,IR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,5001760000,5001.76,0.005002,17,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,1795400000,1795.40,0.001795,18,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Luxembourg,LUX,LU,Europe & Central Asia,High income,1046590000,1046.59,0.001047,19,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Mexico,MEX,MX,Latin America & Caribbean,Upper middle income,738000000,738.00,0.000738,20,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,United States,USA,US,North America,High income,993590900000,993590.90,0.993591,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Japan,JPN,JP,East Asia & Pacific,High income,289123900000,289123.90,0.289124,2,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Canada,CAN,CA,North America,High income,238944270000,238944.27,0.238944,3,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Germany,DEU,DE,Europe & Central Asia,High income,79399940000,79399.94,0.079400,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,France,FRA,FR,Europe & Central Asia,High income,55254080000,55254.08,0.055254,5,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,44464360000,44464.36,0.044464,6,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Switzerland,CHE,CH,Europe & Central Asia,High income,43569560000,43569.56,0.043570,7,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Australia,AUS,AU,East Asia & Pacific,High income,38945170000,38945.17,0.038945,8,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,United Kingdom,GBR,GB,Europe & Central Asia,High income,30095770000,30095.77,0.030096,9,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Netherlands,NLD,NL,Europe & Central Asia,High income,29197590000,29197.59,0.029198,10,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
