country,iso3,wpr_legality,wpr_model,video_bucket,source_url,source_accessed,confidence
North Macedonia,MKD,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Norway,NOR,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Oman,OMN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Pakistan,PAK,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Palestine,PSE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Panama,PAN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Papua New Guinea,PNG,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Paraguay,PRY,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Peru,PER,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Philippines,PHL,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Poland,POL,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Portugal,PRT,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Qatar,QAT,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Romania,ROU,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Russia,RUS,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Rwanda,RWA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Samoa,WSM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Saudi Arabia,SAU,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Senegal,SEN,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sierra Leone,SLE,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Singapore,SGP,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Solomon Islands,SLB,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Somalia,SOM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Africa,ZAF,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Korea,KOR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Sudan,SSD,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Spain,ESP,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sri Lanka,LKA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Suriname,SUR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sweden,SWE,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Switzerland,CHE,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Syria,SYR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Taiwan,TWN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tajikistan,TJK,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tanzania,TZA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Thailand,THA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Timor-Leste,TLS,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Togo,TGO,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Trinidad and Tobago,TTO,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tunisia,TUN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Turkey,TUR,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Turkmenistan,TKM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uganda,UGA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ukraine,UKR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United Arab Emirates,ARE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United Kingdom,GBR,Limited Legality,Abolitionism,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United States,USA,Illegal/Legal,Prohibitionism/Legalization,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uruguay,URY,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uzbekistan,UZB,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Venezuela,VEN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Vietnam,VNM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Yemen,YEM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Zambia,ZMB,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Zimbabwe,ZWE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
