year,name,code,flag,region,currency,value,rank,color,source
2006,Greece,GRC,🇬🇷,Europe,EUR,0.796433,30,#06B6D4,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Ireland,IRL,🇮🇪,Europe,EUR,0.796433,31,#10B981,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Italy,ITA,🇮🇹,Europe,EUR,0.796433,32,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Luxembourg,LUX,🇱🇺,Europe,EUR,0.796433,33,#A3E635,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Netherlands,NLD,🇳🇱,Europe,EUR,0.796433,34,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Portugal,PRT,🇵🇹,Europe,EUR,0.796433,35,#16A34A,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Spain,ESP,🇪🇸,Europe,EUR,0.796433,36,#FBBF24,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Latvia,LVA,🇱🇻,Europe,LVL,0.560408,37,#DC2626,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,United Kingdom,GBR,🇬🇧,Europe,GBP,0.543487,38,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Colombia,COL,🇨🇴,Americas,COP,2077.81,1,#FACC15,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,South Korea,KOR,🇰🇷,Asia,KRW,929.3758,2,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Chile,CHL,🇨🇱,Americas,CLP,522.4642,3,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Costa Rica,CRI,🇨🇷,Americas,CRC,516.6174,4,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Hungary,HUN,🇭🇺,Europe,HUF,183.6258,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Japan,JPN,🇯🇵,Asia,JPY,117.7535,6,#FB7185,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Iceland,ISL,🇮🇸,Europe,ISK,64.0550,7,#0EA5E9,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Slovak Republic,SVK,🇸🇰,Europe,SKK,24.6943,8,#2563EB,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Czechia,CZE,🇨🇿,Europe,CZK,20.2937,9,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Estonia,EST,🇪🇪,Europe,EEK,11.4339,10,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Mexico,MEX,🇲🇽,Americas,MXN,10.9282,11,#2DD4BF,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Sweden,SWE,🇸🇪,Europe,SEK,6.758770,12,#FDE047,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Norway,NOR,🇳🇴,Europe,NOK,5.861667,13,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Denmark,DNK,🇩🇰,Europe,DKK,5.443701,14,#14B8A6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Israel,ISR,🇮🇱,Middle East,ILS,4.108083,15,#6366F1,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Poland,POL,🇵🇱,Europe,PLN,2.767950,16,#E11D48,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Lithuania,LTU,🇱🇹,Europe,LTL,2.523725,17,#F59E0B,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,New Zealand,NZL,🇳🇿,Oceania,NZD,1.360675,18,#7DD3FC,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Turkiye,TUR,🇹🇷,Europe/Asia,TRY,1.302931,19,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Switzerland,CHE,🇨🇭,Europe,CHF,1.200366,20,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Australia,AUS,🇦🇺,Oceania,AUD,1.195072,21,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Canada,CAN,🇨🇦,Americas,CAD,1.074046,22,#60A5FA,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,United States,USA,🇺🇸,Americas,USD,1.000000,23,#22D3EE,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Austria,AUT,🇦🇹,Europe,EUR,0.729672,24,#F43F5E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Belgium,BEL,🇧🇪,Europe,EUR,0.729672,25,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Finland,FIN,🇫🇮,Europe,EUR,0.729672,26,#84CC16,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,France,FRA,🇫🇷,Europe,EUR,0.729672,27,#3B82F6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Germany,DEU,🇩🇪,Europe,EUR,0.729672,28,#EAB308,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Greece,GRC,🇬🇷,Europe,EUR,0.729672,29,#06B6D4,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Ireland,IRL,🇮🇪,Europe,EUR,0.729672,30,#10B981,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Italy,ITA,🇮🇹,Europe,EUR,0.729672,31,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Luxembourg,LUX,🇱🇺,Europe,EUR,0.729672,32,#A3E635,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Netherlands,NLD,🇳🇱,Europe,EUR,0.729672,33,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
