year,host,final_rank,team,team_code,stage,group,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,source_type,source_url,source_section
1930,Uruguay,1,Uruguay,URU,champion,3,4,4,0,0,15,3,12,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,2,Argentina,ARG,runner_up,1,5,4,0,1,18,9,9,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,3,United States,USA,third_place,4,3,2,0,1,7,6,1,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,4,Yugoslavia,YUG,fourth_place,2,3,2,0,1,7,7,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,5,Chile,CHI,group_stage,1,3,2,0,1,5,3,2,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,6,Brazil,BRA,group_stage,2,2,1,0,1,5,2,3,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,7,France,FRA,group_stage,1,3,1,0,2,4,3,1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,8,Romania,ROU,group_stage,3,2,1,0,1,3,5,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,9,Paraguay,PAR,group_stage,4,2,1,0,1,1,3,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,10,Peru,PER,group_stage,3,2,0,0,2,1,4,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,11,Belgium,BEL,group_stage,4,2,0,0,2,0,4,-4,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,12,Bolivia,BOL,group_stage,2,2,0,0,2,0,8,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,13,Mexico,MEX,group_stage,1,3,0,0,3,4,13,-9,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,1,Italy,ITA,champion,,5,4,1,0,12,3,9,9,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,2,Czechoslovakia,TCH,runner_up,,4,3,0,1,9,6,3,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,3,Germany,GER,third_place,,4,3,0,1,11,8,3,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,4,Austria,AUT,fourth_place,,4,2,0,2,7,7,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,5,Spain,ESP,quarter_finals,,3,1,1,1,4,3,1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,6,Hungary,HUN,quarter_finals,,2,1,0,1,5,4,1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,7,Switzerland,SUI,quarter_finals,,2,1,0,1,5,5,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,8,Sweden,SWE,quarter_finals,,2,1,0,1,4,4,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,9,Argentina,ARG,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,10,France,FRA,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,11,Netherlands,NED,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,12,Romania,ROU,round_of_16,,1,0,0,1,1,2,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,13,Egypt,EGY,round_of_16,,1,0,0,1,2,4,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,14,Brazil,BRA,round_of_16,,1,0,0,1,1,3,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,15,Belgium,BEL,round_of_16,,1,0,0,1,2,5,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,16,United States,USA,round_of_16,,1,0,0,1,1,7,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,1,Italy,ITA,champion,,4,4,0,0,11,5,6,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,2,Hungary,HUN,runner_up,,4,3,0,1,15,5,10,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,3,Brazil,BRA,third_place,,5,3,1,1,14,11,3,7,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,4,Sweden,SWE,fourth_place,,3,1,0,2,11,9,2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,5,Czechoslovakia,TCH,quarter_finals,,3,1,1,1,5,3,2,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,6,Switzerland,SUI,quarter_finals,,3,1,1,1,5,5,0,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,7,Cuba,CUB,quarter_finals,,3,1,1,1,5,12,-7,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,8,France,FRA,quarter_finals,,2,1,0,1,4,4,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,9,Romania,ROU,round_of_16,,2,0,1,1,4,5,-1,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,10,Germany,GER,round_of_16,,2,0,1,1,3,5,-2,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,11,Poland,POL,round_of_16,,1,0,0,1,5,6,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,12,Norway,NOR,round_of_16,,1,0,0,1,1,2,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,13,Belgium,BEL,round_of_16,,1,0,0,1,1,3,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,14,Netherlands,NED,round_of_16,,1,0,0,1,0,3,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,15,Dutch East Indies,INH,round_of_16,,1,0,0,1,0,6,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,16,Austria,AUT,round_of_16,,0,0,0,0,0,0,0,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,1,Uruguay,URU,champion,4,4,3,1,0,15,5,10,7,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,2,Brazil,BRA,runner_up,1,6,4,1,1,22,6,16,9,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,3,Sweden,SWE,third_place,3,5,2,1,2,11,15,-4,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,4,Spain,ESP,fourth_place,2,6,3,1,2,10,12,-2,7,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,5,Yugoslavia,YUG,first_round,1,3,2,0,1,7,3,4,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,6,Switzerland,SUI,first_round,1,3,1,1,1,4,6,-2,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,7,Italy,ITA,first_round,3,2,1,0,1,4,3,1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,8,England,ENG,first_round,2,3,1,0,2,2,2,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,9,Chile,CHI,first_round,2,3,1,0,2,5,6,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,10,United States,USA,first_round,2,3,1,0,2,4,8,-4,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,11,Paraguay,PAR,first_round,3,2,0,1,1,2,4,-2,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,12,Mexico,MEX,first_round,1,3,0,0,3,2,10,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1950,Brazil,13,Bolivia,BOL,first_round,4,1,0,0,1,0,8,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,1,West Germany,FRG,champion,2,6,5,0,1,25,14,11,10,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,2,Hungary,HUN,runner_up,2,5,4,0,1,27,10,17,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,3,Austria,AUT,third_place,3,5,4,0,1,17,12,5,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,4,Uruguay,URU,fourth_place,3,5,3,0,2,16,9,7,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,5,Brazil,BRA,quarter_finals,1,3,1,1,1,8,5,3,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,6,England,ENG,quarter_finals,4,3,1,1,1,8,8,0,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,7,Yugoslavia,YUG,quarter_finals,1,3,1,1,1,2,3,-1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,8,Switzerland,SUI,quarter_finals,4,4,2,0,2,11,11,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,9,Turkey,TUR,group_stage,2,3,1,0,2,10,11,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,10,Italy,ITA,group_stage,4,3,1,0,2,6,7,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,11,France,FRA,group_stage,1,2,1,0,1,3,3,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,12,Belgium,BEL,group_stage,4,2,0,1,1,5,8,-3,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,13,Mexico,MEX,group_stage,1,2,0,0,2,2,8,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,14,Czechoslovakia,TCH,group_stage,3,2,0,0,2,0,7,-7,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,15,Scotland,SCO,group_stage,3,2,0,0,2,0,8,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1954,Switzerland,16,South Korea,KOR,group_stage,2,2,0,0,2,0,16,-16,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,1,Brazil,BRA,champion,4,6,5,1,0,16,4,12,11,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,2,Sweden,SWE,runner_up,3,6,4,1,1,12,7,5,9,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,3,France,FRA,third_place,2,6,4,0,2,23,15,8,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,4,West Germany,FRG,fourth_place,1,6,2,2,2,12,14,-2,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,5,Yugoslavia,YUG,quarter_finals,2,4,1,2,1,7,7,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,6,Wales,WAL,quarter_finals,3,5,1,3,1,4,4,0,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,7,Soviet Union,URS,quarter_finals,4,5,2,1,2,5,6,-1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,8,Northern Ireland,NIR,quarter_finals,1,5,2,1,2,6,10,-4,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,9,Czechoslovakia,TCH,group_stage,1,4,1,1,2,9,6,3,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,10,Hungary,HUN,group_stage,3,4,1,1,2,7,5,2,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,11,England,ENG,group_stage,4,4,0,3,1,4,5,-1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,12,Paraguay,PAR,group_stage,2,3,1,1,1,9,12,-3,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,13,Argentina,ARG,group_stage,1,3,1,0,2,5,10,-5,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,14,Scotland,SCO,group_stage,2,3,0,1,2,4,6,-2,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,15,Austria,AUT,group_stage,4,3,0,1,2,2,7,-5,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1958,Sweden,16,Mexico,MEX,group_stage,3,3,0,1,2,1,8,-7,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,1,Brazil,BRA,champion,3,6,5,1,0,14,5,9,11,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,2,Czechoslovakia,TCH,runner_up,3,6,3,1,2,7,7,0,7,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,3,Chile,CHI,third_place,2,6,4,0,2,10,8,2,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,4,Yugoslavia,YUG,fourth_place,1,6,3,0,3,10,7,3,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,5,Hungary,HUN,quarter_finals,4,4,2,1,1,8,3,5,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,6,Soviet Union,URS,quarter_finals,1,4,2,1,1,9,7,2,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,7,West Germany,FRG,quarter_finals,2,4,2,1,1,4,2,2,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,8,England,ENG,quarter_finals,4,4,1,1,2,5,6,-1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,9,Italy,ITA,group_stage,2,3,1,1,1,3,2,1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,10,Argentina,ARG,group_stage,4,3,1,1,1,2,3,-1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,11,Mexico,MEX,group_stage,3,3,1,0,2,3,4,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,12,Spain,ESP,group_stage,3,3,1,0,2,2,3,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,13,Uruguay,URU,group_stage,1,3,1,0,2,4,6,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,14,Colombia,COL,group_stage,1,3,0,1,2,5,11,-6,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,15,Bulgaria,BUL,group_stage,4,3,0,1,2,1,7,-6,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1962,Chile,16,Switzerland,SUI,group_stage,2,3,0,0,3,2,8,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,1,England,ENG,champion,1,6,5,1,0,11,3,8,11,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,2,West Germany,FRG,runner_up,2,6,4,1,1,15,6,9,9,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,3,Portugal,POR,third_place,3,6,5,0,1,17,8,9,10,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,4,Soviet Union,URS,fourth_place,4,6,4,0,2,10,6,4,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,5,Argentina,ARG,quarter_finals,2,4,2,1,1,4,2,2,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,6,Hungary,HUN,quarter_finals,3,4,2,0,2,8,7,1,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,7,Uruguay,URU,quarter_finals,1,4,1,2,1,2,5,-3,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,8,North Korea,PRK,quarter_finals,4,4,1,1,2,5,9,-4,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,9,Italy,ITA,group_stage,4,3,1,0,2,2,2,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,10,Spain,ESP,group_stage,2,3,1,0,2,4,5,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,11,Brazil,BRA,group_stage,3,3,1,0,2,4,6,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,12,Mexico,MEX,group_stage,1,3,0,2,1,1,3,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,13,Chile,CHI,group_stage,4,3,0,1,2,2,5,-3,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,14,France,FRA,group_stage,1,3,0,1,2,2,5,-3,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,15,Bulgaria,BUL,group_stage,3,3,0,0,3,1,8,-7,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1966,England,16,Switzerland,SUI,group_stage,2,3,0,0,3,1,9,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,1,Brazil,BRA,champion,3,6,6,0,0,19,7,12,12,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,2,Italy,ITA,runner_up,2,6,3,2,1,10,8,2,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,3,West Germany,FRG,third_place,4,6,5,0,1,17,10,7,10,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,4,Uruguay,URU,fourth_place,2,6,2,1,3,4,5,-1,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,5,Soviet Union,URS,quarter_finals,1,4,2,1,1,6,2,4,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,6,Mexico,MEX,quarter_finals,1,4,2,1,1,6,4,2,5,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,7,Peru,PER,quarter_finals,4,4,2,0,2,9,9,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,8,England,ENG,quarter_finals,3,4,2,0,2,4,4,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,9,Sweden,SWE,group_stage,2,3,1,1,1,2,2,0,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,10,Belgium,BEL,group_stage,1,3,1,0,2,4,5,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
1970,Mexico,11,Romania,ROU,group_stage,3,3,1,0,2,4,5,-1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup,FIFA_retrospective_ranking
